,시험명,전체,국어,영어,수학,과학,사회,역사,평균
313,AI진단평가,318,93.0,86.0,68.0,,71.0,,79.5
314,AI진단평가,405,86.0,79.0,71.0,79.0,90.0,,81.0
315,AI진단평가,339,100.0,100.0,94.0,,45.0,,84.75
316,AI진단평가,307,100.0,72.0,60.0,45.0,30.0,,61.4
317,AI진단평가,236,40.0,61.0,74.0,,46.0,15.0,47.2
318,AI진단평가,391,100.0,93.0,37.0,90.0,71.0,,78.2
319,AI진단평가,331,86.0,79.0,62.0,48.0,56.0,,66.2
320,AI진단평가,252,63.0,63.0,63.0,,63.0,,63.0
321,AI진단평가,252,63.0,63.0,63.0,,63.0,,63.0
322,AI진단평가,386,86.0,100.0,100.0,,100.0,,96.5
323,AI진단평가,252,63.0,63.0,63.0,,63.0,,63.0
324,AI진단평가,29,29.0,0.0,0.0,0.0,0.0,,5.8
325,AI진단평가,457,86.0,93.0,88.0,100.0,90.0,,91.4
326,AI진단평가,400,93.0,93.0,94.0,,90.0,30.0,80.0
327,AI진단평가,583,100.0,93.0,100.0,90.0,100.0,100.0,97.16666666666669
328,AI진단평가,208,68.0,50.0,37.0,15.0,38.0,,41.6
329,AI진단평가,340,93.0,93.0,54.0,,100.0,,85.0
330,AI진단평가,252,63.0,63.0,63.0,,63.0,,63.0
331,AI진단평가,497,100.0,79.0,94.0,100.0,45.0,79.0,82.83333333333333
332,AI진단평가,357,18.0,93.0,51.0,82.0,90.0,23.0,59.5
333,AI진단평가,480,100.0,86.0,94.0,100.0,100.0,,96.0
334,AI진단평가,370,100.0,93.0,77.0,,100.0,,92.5
335,AI진단평가,391,58.0,100.0,76.0,67.0,90.0,,78.2
336,AI진단평가,253,86.0,75.0,62.0,,30.0,,63.25
337,AI진단평가,559,100.0,93.0,76.0,100.0,100.0,90.0,93.16666666666669
338,AI진단평가,298,86.0,61.0,83.0,30.0,38.0,,59.6
339,AI진단평가,383,86.0,86.0,66.0,45.0,100.0,,76.6
340,AI진단평가,439,93.0,93.0,82.0,71.0,100.0,,87.8
341,AI진단평가,335,68.0,79.0,88.0,,100.0,,83.75
342,AI진단평가,395,93.0,58.0,71.0,45.0,67.0,61.0,65.83333333333333
343,AI진단평가,154,100.0,54.0,0.0,0.0,0.0,,30.8
344,AI진단평가,179,100.0,79.0,0.0,0.0,0.0,,35.8
345,AI진단평가,335,86.0,93.0,77.0,,79.0,,83.75
346,AI진단평가,580,100.0,86.0,94.0,100.0,100.0,100.0,96.66666666666669
347,AI진단평가,411,100.0,86.0,74.0,90.0,61.0,,82.2
348,AI진단평가,328,86.0,86.0,89.0,,67.0,,82.0
349,AI진단평가,252,63.0,63.0,63.0,,63.0,,63.0
